Date,Open,High,Low,Close,Volume,Adj Close,Returns
01-07-2011,952.05,969.9,941.55,955.2,333800,851.99,
04-07-2011,969.85,969.85,949.05,953.7,278700,850.65,-0.001574027
05-07-2011,952.05,972.7,952.05,970.7,372100,865.82,0.017676272
06-07-2011,970.4,977.9,960.15,963.8,130500,859.66,-0.007140073
07-07-2011,964,993.7,964,991.05,438400,883.97,0.027886163
08-07-2011,993,998,962.6,975.35,315800,869.96,-0.015975892
11-07-2011,973,973,954.45,962.55,103200,858.55,-0.013202314
12-07-2011,958,963.9,938.35,947.6,143400,845.21,-0.015659803
13-07-2011,950,964.9,946.35,955.9,201600,852.62,0.008728845
14-07-2011,954,985.5,948.1,978.75,290300,873,0.023621594
15-07-2011,981.8,989.5,971.55,980.15,257900,874.25,0.00143082
18-07-2011,984.8,988,977,981.95,220300,875.85,0.001828467
19-07-2011,975.2,992,975.2,986.8,205800,880.18,0.004931589
20-07-2011,990,995,967.5,978.15,175900,872.46,-0.008809624
21-07-2011,981,985,971.35,977.8,65300,872.15,-0.00035538
22-07-2011,985,996.95,974.1,995.05,577400,887.54,0.017492163
25-07-2011,994.6,1003,985.05,999.75,277200,891.73,0.004709805
26-07-2011,1000.15,1012.15,987.6,994.65,248900,887.18,-0.005115503
27-07-2011,990,1001.9,990,995.75,162300,888.16,0.001104014
28-07-2011,983.15,1036.5,981,1022.1,717100,911.66,0.026115207
29-07-2011,1005.15,1021.8,996.3,1011.6,228800,902.3,-0.010320055
01-08-2011,1010,1020,1004.15,1008.7,186500,899.71,-0.00287457
02-08-2011,1003.15,1019.7,1003,1007.55,252600,898.69,-0.001134342
03-08-2011,996.35,999,984.5,989.25,131600,892.1,-0.007359913
04-08-2011,987.25,996,977.5,982.75,133200,886.24,-0.00659044
05-08-2011,951.35,978.75,951.35,964.15,268500,869.47,-0.019103964
08-08-2011,936.2,999.5,936.2,985.8,525800,888.99,0.022202156
09-08-2011,950.15,1014.25,950.15,995.85,614000,898.05,0.010139759
10-08-2011,1000,1015,1000,1010.65,209500,911.4,0.014756133
11-08-2011,1005,1024.8,998.6,1006.3,245000,907.48,-0.004310352
12-08-2011,1006.35,1019.7,989.5,999.6,205200,901.44,-0.006678043
16-08-2011,1001.15,1011.55,985.5,991.3,105100,893.95,-0.008343639
17-08-2011,995,1005,990.55,999.95,188100,901.75,0.008687475
18-08-2011,1001,1012.25,991.7,1004.9,226500,906.22,0.004944782
19-08-2011,990,1008.05,990,998.95,149400,900.85,-0.00594334
22-08-2011,994.15,1014,990.5,998.15,171200,900.13,-0.000799565
23-08-2011,1000,1013.75,998.55,1002.65,114200,904.19,0.004500318
24-08-2011,998.6,1009,993.5,1002.45,320600,904.01,-0.000199093
25-08-2011,1009.8,1019,997.85,1014.75,287100,915.1,0.012192927
26-08-2011,1016.9,1016.9,980.25,992.55,187300,895.08,-0.022120249
29-08-2011,1005,1007.8,994,1002.5,189300,904.05,0.009971569
30-08-2011,1014.75,1014.75,993.5,1002.8,266500,904.32,0.000298611
02-09-2011,1032.85,1034,1002.05,1015.25,403400,915.55,0.012341698
05-09-2011,1005.35,1018.8,997.05,1002.1,272600,903.69,-0.013038596
06-09-2011,1000.1,1022,995.5,1016.85,348400,916.99,0.014610186
