"","V1"
"1","0.000490915434388149"
"2","0.000484138801079896"
"3","0.000484153813174088"
"4","0.000467552202104248"
"5","0.000480974738273289"
"6","0.000490002221086132"
"7","0.000519952799627342"
"8","0.00051143945957494"
"9","0.000492298584326717"
"10","0.000499865620628683"
"11","0.000498772121179235"
"12","0.000495120707263373"
"13","0.000502791560490119"
"14","0.000503499623074506"
"15","0.000489470999072192"
"16","0.00048598311938299"
"17","0.000490616275996479"
"18","0.000490108496430944"
"19","0.000468878092032687"
"20","0.000477824138996662"
"21","0.000480606208676791"
"22","0.000481947527584401"
