"","V1"
"1","0.0141902823598735"
"2","0.0139196357803697"
"3","0.0136708302076909"
"4","0.0134181381465976"
"5","0.0131694684370203"
"6","0.0129539734439212"
"7","0.0130437601415608"
"8","0.0132167053067857"
"9","0.0131113790659574"
"10","0.0129514871325179"
"11","0.0130430490253955"
"12","0.0131991210818222"
"13","0.0130268843923008"
"14","0.0129398267927792"
"15","0.012934764911189"
"16","0.0128084318027121"
"17","0.0125792435150516"
"18","0.0123952224364269"
"19","0.0130566055885688"
"20","0.0128171929046132"
"21","0.0125836102301867"
"22","0.0125772964542787"
